1,2,002101020,220000000,0021b1020,uul
2,3,110120200,000020020,11012020b,rrl
3,4,001220110,200020000,00122b110,rul
4,5,000102201,002002000,0001b2201,rur
5,6,012000201,000200200,0120b0201,dll
6,7,100120200,000022000,1001202b0,dru
7,8,010202010,000002200,0102b2010,ldr
8,9,121200000,000002002,1212b0000,drr
9,11,001212000,000002200,0012120b0,drul
10,13,012012000,002200000,012012b00,dllu
11,15,012000210,000002002,012b00210,urrd
12,16,120020010,000200002,12002b010,rdll
13,17,120201000,020000020,12020100b,rdrl
14,18,001002201,000200020,b01002201,uuld
15,19,001220001,000200020,b01220001,ruld
16,20,100020120,022000000,100b20120,ulru
17,21,201201000,200000020,2b1201000,drrul
18,22,202101000,000020002,2b2101000,lddrd
19,23,110210200,000002200,1102102b0,rdrul
20,24,012010020,000200200,01201b020,ddlul
21,25,210000021,002002000,210b00021,drrur
22,26,000101220,022000000,0001b1220,uuruu
23,27,021020010,000202000,021020b10,ldrru
24,28,010020121,000220000,01002b121,lurdl
25,29,010212000,200000200,0102120b0,dluul
26,30,211210000,000002020,211210b00,drdru
27,31,000201201,000000220,00b201201,rurldd
28,32,200200110,200002000,20020011b,rrdllu
29,33,102210000,020000002,10221b000,drruld
30,34,210210000,000002200,2102100b0,drdrul
31,35,100210200,020000200,10b210200,rdruul
32,36,000110202,022000000,00011b202,urrulu
33,37,001012002,020000002,b01012002,ldluur
34,38,011000022,000202000,b11000022,ulurddu
35,39,100122000,020000020,100122b00,dluurrl
36,40,210210000,002200000,21021b000,drdrulu
37,41,110200200,000022000,11b200200,rrulddu
38,42,000012012,002000200,b00012012,ululddr
39,43,213000011,200030000,21300b011,dlu
40,45,110020003,000003020,11b020003,uud
41,46,032010110,003000002,03201b110,ddr
42,47,011300120,000300002,b11300120,urd
43,48,200031101,003020000,2b0031101,urd
44,49,021010003,000000230,b21010003,ldd
45,50,112000030,000320000,11200b030,dlu
46,51,210013000,000200300,2100130b0,dll
47,52,030210011,000203000,b30210011,rud
48,53,012300100,000200030,0123b0100,rdll
49,54,011032100,000300002,b11032100,lurd
50,55,000002131,230000000,0000b2131,lluu
51,56,011002300,000300020,b11002300,uudl
52,57,301020101,000020030,30102b101,rddl
53,58,031020001,030200000,03102b001,drlu
54,59,110300021,003002000,1103b0021,rrur
55,60,101102300,030020000,1011023b0,ruul
56,61,211013000,000003020,211b13000,ddru
57,62,000020113,000203000,00b020113,luud
58,63,021000310,000030002,021b00310,uudrd
59,64,020310100,000003002,b20310100,urdrd
60,66,002300110,003002000,00230011b,ddrur
61,68,300100201,000023000,3b0100201,rruud
62,69,030110020,003000200,03011b020,rdllu
63,70,103000210,000030002,103b00210,urrdl
64,71,001300201,000320000,00130b201,urrdl
65,72,001102301,320000000,0011b2301,ruulu
66,73,103101020,000000320,1b3101020,uldrdl
67,74,000201103,030200000,00b201103,luurdl
68,75,103020100,032000000,103b20100,dlluru
69,76,101003210,000300002,1b1003210,lurrdl
70,77,131201000,020000030,1312b1000,ddruul
71,78,100010320,020000003,10b010320,ruruld
72,79,310000021,000003200,310b00021,drruld
73,80,101300102,000002003,1b1300102,ulurdr
74,81,000310120,003000020,b00310120,urrdlu
75,82,121300000,030200000,1213b0000,druull
76,83,100210300,030000020,10b210300,rdruurl
77,84,320110000,000000203,32b110000,rdrdlld
78,85,001100231,000002030,0b1100231,uururdd
79,86,002300101,000023000,0023001b1,rdllurd
80,88,121103000,030020000,121103b00,ddluuru
81,89,100001032,000000023,1b0001032,uullddr
82,90,010003210,000302000,0100b3210,llurrud
83,91,130000210,000000302,130b00210,urrdlld
84,92,000312102,032000002,b00312102,lur
85,93,000212301,220000300,00b212301,rul
86,97,022100300,020002030,b22100300,ldr
87,99,302001020,000300220,3b2001020,ldd
88,102,003000212,003002200,0b3000212,uldr
89,104,220310001,220000300,2203100b1,drul
90,105,020000312,022030000,020b00312,ulur
91,106,130002210,023200000,1300b2210,llru
92,110,102130102,022030000,10213b102,dulu
93,111,101320012,020200300,10132b012,uldl
94,112,012132100,002002003,0121321b0,dluur
95,113,000310022,000003202,b00310022,lurrd
96,114,110030221,003020200,11003b221,ururl
97,115,113200120,002023000,11320012b,ddrru
98,117,110302201,000002230,1103b2201,urrld
99,118,101202130,000223000,10120213b,rdllu
100,119,210003021,200020030,210b03021,ldruu
